Pts	Reb	Asist	%TC	MaxPts	MaxReb	MaxAsis	Max%TC	Pos	Id
23.8	4.3	7.7	48.7	28.1	15	10.2	71	1	1
27.4	5.7	7	44	28.1	15	10.2	71	2	2
28.1	7.3	8.6	42.6	28.1	15	10.2	71	9	3
25.4	6.6	4.1	51	28.1	15	10.2	71	9	4
25.3	6	7.4	48.8	28.1	15	10.2	71	2	5
24.4	10.2	2.2	53.5	28.1	15	10.2	71	8	6
24.2	6.6	3.1	44.4	28.1	15	10.2	71	15	7
24.1	12.7	3.6	46.7	28.1	15	10.2	71	13	8
23.4	10.2	1.7	46.6	28.1	15	10.2	71	4	9
22.3	5.7	5.6	37.3	28.1	15	10.2	71	14	10
21.9	7.6	5.3	50.2	28.1	15	10.2	71	3	11
21.7	3.2	5.2	46.8	28.1	15	10.2	71	2	12
21.7	3.2	2.9	46.3	28.1	15	10.2	71	1	13
21.5	3.5	4.8	47	28.1	15	10.2	71	10	14
21.1	7	2.2	46	28.1	15	10.2	71	10	15
21.1	5.9	3.7	45.5	28.1	15	10.2	71	13	16
21	4.6	6.2	43.4	28.1	15	10.2	71	4	17
20.1	4.6	3.5	41.3	28.1	15	10.2	71	4	18
20	5.8	3.3	46.2	28.1	15	10.2	71	3	19
20	3.6	2.3	42.7	28.1	15	10.2	71	15	20
